Ticker,Ideal Volatility,Mid Market Cap,Reverse Volatility,3yr Sharpe Ratio
IMKTA,0,1,0,0
INDB,0,0,0,1
INFO,1,0,0,0
INGN,0,1,0,0
INN,0,1,0,0
INO,0,0,1,0
INSM,0,0,0,1
INTU,1,0,0,0
INVA,0,1,0,0
IP,0,0,0,1
IPG,0,0,0,1
IRM,1,0,0,1
ISBC,0,0,0,1
ITCI,0,0,1,0
ITRI,0,0,0,1
ITW,1,0,0,0
IUSV,1,0,0,1
IXUS,0,0,0,1
J,1,0,0,0
JACK,0,0,0,1
JAZZ,0,0,0,1
JBSS,0,1,0,0
JBT,0,0,0,1
JJSF,1,0,0,1
JKHY,1,0,0,0
JLL,0,0,0,1
JNJ,1,0,0,0
JNPR,1,0,0,1
JRVR,0,1,0,0
K,1,0,0,0
KALU,0,0,0,1
KAMN,0,1,0,0
KBH,0,0,0,1
KBWB,0,0,0,1
KDP,1,0,0,0
KEY,0,0,0,1
KFRC,0,1,0,0
KFY,0,0,0,1
KIM,0,0,0,1
KMI,0,0,0,1
KOS,0,1,1,0
KR,1,0,0,0
KRA,0,1,1,0
KRG,0,0,0,1
KRNY,0,1,0,0
KSU,1,0,0,0
KT,1,0,0,0
KURA,0,0,0,1
KW,0,0,0,1
L,1,0,0,1
LADR,0,1,0,0
LANC,1,0,0,0
LB,0,0,0,1
LC,0,0,0,1
LCII,0,0,0,1
LECO,1,0,0,0
LEG,0,0,0,1
LFUS,0,0,0,1
LGF.A,0,1,0,0
LHX,0,0,0,1
LII,1,0,0,0
LIN,1,0,0,0
LITE,0,0,0,1
LKQ,0,0,0,1
LMNX,0,1,0,0
LMT,1,0,0,1
LNN,1,0,0,0
LNTH,0,1,0,1
LOPE,0,0,0,1
LORL,0,1,0,0
LRN,0,1,0,0
LSTR,1,0,0,0
LTC,0,0,0,1
LUV,0,0,0,1
LXP,1,0,0,0
MAIN,0,0,0,1
MANU,0,1,0,0
MAR,0,0,0,1
MARA,0,0,1,0
MASI,1,0,0,0
MATW,0,1,0,0
MBB,0,0,0,1
MC,0,0,0,1
MCHI,1,0,0,1
MCK,1,0,0,0
MCO,1,0,0,0
MCRB,0,0,1,0
MCRI,0,1,0,1
MDGL,0,0,1,0
MDP,0,1,0,0
MDRX,0,0,0,1
MDT,1,0,0,0
MDU,1,0,0,1
MDXG,0,1,1,0
MEI,0,0,0,1
MESO,0,1,1,1
MET,0,0,0,1
MFC,0,0,0,1
MGM,0,0,0,1
MGNI,0,0,1,0
MGNX,0,0,1,1
MGPI,0,1,0,0
MIDD,0,0,0,1
MIK,0,0,1,1
MIME,0,0,0,1
MKC,1,0,0,0
MKL,1,0,0,0
MLHR,0,0,0,1
MMC,1,0,0,0
MMI,0,1,0,0
MMM,1,0,0,0
MMS,1,0,0,0
MMSI,0,0,0,1
MNR,1,0,0,1
MNRO,0,0,0,1
MO,1,0,0,0
MODN,0,1,0,0
MOS,0,0,0,1
MPW,1,0,0,0
MRTN,0,1,0,1
MSA,1,0,0,0
MSEX,1,1,0,0
MSGS,0,0,0,1
MSI,1,0,0,0
MTDR,0,0,1,0
MTG,0,0,0,1
MTN,0,0,0,1
MTOR,0,0,0,1
MTRN,0,1,0,1
MTSC,0,1,0,1
MTX,0,0,0,1
MVIS,0,0,1,0
MWA,0,0,0,1
MXL,0,0,0,1
MYRG,0,1,0,0
NAV,0,0,0,1
NAVI,0,0,0,1
NBHC,0,1,0,1
NBIX,0,0,0,1
NBTB,1,0,0,1
NCR,0,0,0,1
NDAQ,1,0,0,0
NEU,1,0,0,0
NFG,1,0,0,0
NGG,0,0,0,1
NHI,0,0,0,1
NI,0,0,0,1
NJR,1,0,0,1
NKE,1,0,0,0
NMFC,0,1,0,0
NMIH,0,0,0,1
NMR,0,0,0,1
NNDM,0,0,1,0
NNI,1,0,0,0
